label,text,text1,text2
37,brain fluid buildup delay giffords rehab,['brain fluid buildup delay The compound'],['brain fluid buildup early on rehab']
14,trailer talk week movie rite mechanic week opportunity,['trailer talk week and your mechanic week opportunity'],['trailer talk movie movie rite mechanic week...']
100,rnc appoints chairman tampa convention effort visit tampa republican nati tampa fl,['rnc appoints chairman during convention planning visit tampa republican republican f fl'],['rnc executive chairman tampa convention effort visit chairman now nati tampa fl']
110,gbagbo camp futile cut ivory coast economy,['gbagbo camp pledges cut ivory bag economy'],['gbagbo camp futile middle south coast economy']
61,chinese president lost translation powerful leader meet expect tran,['chinese floods lost translation powerful leader officials expect report'],['chinese president lost translation powerful friends meet nguyen tran']
60,england fishing community current management system broken edf,['england and community current management system - edf'],['england for community system management system broken edf']
79,protest reform start yemen hundred anti government protester gathered sanaa,['protest van i yemen hundred anti government protester di sanaa'],['protest operation start yemen 2018 anti government protester strike sanaa']
83,stuxnet lead chernobyl russian,['stuxnet toxin chernobyl attack'],['stuxnet articles in russian']
81,iphone share smartphones phone,['iphone share in phone'],['iphone phones smartphones phone']
67,uploaded youtube video nba final lakers celtic game memory highlig,['uploaded youtube clip Celtics vs lakers celtic u memory highlig'],['uploaded video of nba final lakers celtic game memory company']
99,feed epic sci fi car ad kia optimum super bowl commercial video trendhunter supe,['feed epic sci fi car ad kia re super album commercial e n supe'],['feed epic sci into car ad kia optimum super car fan video trendhunter online']
95,naughty facebook started sharing personal detail site day turn fb,['naughty tweets started sharing personal detail when day 25 fb'],['naughty facebook started its personal chat site call turn fb']
99,super bowl commercial,['super store commercial'],['super bowl game']
72,bruce will fave kardashian lol,['bruce u fave us lol'],['you will fave kardashian do']
66,attack journalist escalate egypt,['attack will escalate egypt'],['bad journalist escalate the']
30,keith olbermann join current tv report,['keith to join current tv executive'],['david olbermann in current tv report']
75,opinion christina sounded amazing super bowl america making big deal,['opinion This sounds amazing with bowl america making big deal'],['i christina sounded amazing super bowl america making big job']
96,sundance day strange celebrity encounter steve carell elijah wood full day sundanc,['sundance day old celebrity encounter of carell elijah wood full moons old'],['full day movie celebrity encounter steve austin elijah wood full day sundanc']
55,acai berry supplement weight loss associated content heard oprah win,['acai berry whose weight loss associated content include oprah extracts'],['acai berry reported in loss associated content heard oprah in']
101,finished watching black swan twisted mental strain take embrace role natalie portman incredible,['finished watching tom swan twisted male monster take embrace to natalie portman incredible'],['finished watching black swan twisted mental y take embrace forever from portman incredible']
21,hot air breaking rahm ballot tcot lt state totally corrupt,['hot air for rahm ballot paper lt its totally corrupt'],['green button breaking rahm ballot 2014 lt state totally corrupt']
68,charlie sheen abuse,['charlie of abuse'],['charlie sheen into']
99,music featured motorola xoom super bowl commercial,['music featured motorola in super bowl party'],['music featured motorola radio super watch commercial']
14,rite movie review fan movie deal battle good evil,['rite Potter review fan movie spies battle good evil'],['rite movie dance vampire movie deal battle good evil']
106,potential replacement steve job,['potential replacement and design'],['potential replacement steve lee']
79,yemen president signal won stay freedomwar egypt jan syria feb,['yemen giving signal of stay freedomwar egypt jan 28 feb'],['yemen president signal won stay freedomwar egypt abd rashid al']
74,debt settlement lawyer debt settlement easier lawyer day debt settlement beco,['debt pain lawyer debt settlement easier As day of settlement beco'],['debt settlement lawyer legal settlement easier financial day transaction settlement beco']
75,aguilera repeat national anthem ap ap christina aguilera flubbed belted,['aguilera wins national title ap ap christina ante flubbed spell'],['in abc national news ap ap christina aguilera flubbed song']
66,skipped romanian crew journalist threatened attacked detained reporting egypt,['skipped Saudi crew that reportedly attacked detained reporting egypt'],['skipped romanian crew journalist being attacked detained by egypt']
55,loss weight acai berry capsule benefit,['loss weight - bean capsule benefit'],['small weight of berry capsule benefit']
45,pew internet online american social networking twitter politics campaign internet,['pew internet online american news networks twitter politics the internet'],['british internet online american social networking twitter news campaign internet']
60,tbf flw outdooors introduce national high school fishing program national high school fishing program,['tbf flw outdooors introduce NRA high teen fishing program NRA high school fishing program'],['tbf flw recently introduce its short school fishing program national high school fishing league']
25,fucking awesome jesse jesse ventura slam tsa lawsuit,['fucking me jesse jesse ventura at tsa games'],['fucking awesome times jesse by slam tsa lawsuit']
88,king speech awarded best ensemble cast screen actor guild award,['king speech awarded to ensemble cast screen in guild award'],['king speech awarded vocal ensemble cast screen actors guild award']
60,charge fee saltwater fishing license,['charge fee annual harvesting license'],['charge fee no lake license']
46,bottega veneta teal turquoise knot intrecciato snakeskin clutch,['bottega with teal turquoise coral and snakeskin »'],['petite veneta teal broom knot duck snakeskin carp']
87,baked slow cooker chicken crockpotrecipes,['baked 2 round chicken crockpotrecipes'],['a slow cooker over a']
17,fake snow storm white stripe officially call quits,['fake red storm white men officially call quits'],['fake snow storm fire whistle officially call quits']
99,chrysler air super bowl commercial,['chrysler air power bowl 2014'],['chrysler video super bowl commercial']
97,kid set college time fill fafsa,['kid set on time fill schedule'],['it set a time fill fafsa']
